"","ID","DataType","ORIGINAL_TraitID","ORIGINAL_TraitDefinition","TraitValue","TraitUnit","N_TraitValue","ConTaxa","ResTaxa","ConTaxaStage","ResTaxaStage","Con_ForagingMovement","Con_RESDetectionDimensionality","Res_ForagingMovement","Res_CONDetectionDimensionality","CON_MASS_value","RES_MASS_value","ResArenaSize_SI_UNIT","ResDensity_SI_VALUE","ResDensityUnit","ResDensity","ResArenaSize_SI_VALUE","ConTemp","ResTemp","ResReplaceRate","ResReplaceUnit","ResReplace","TraitSIValue","TraitSIUnit","N_TraitID","N_TraitConversion","N_CONVERTED","N_TraitUnit","Original_ErrorValue","Original_ErrorValueUnit","Replicates","ConTaxon","ConStage","ConCommon","Con_MovementDimensionality","Con_Thermy","Res_MovementDimensionality","ResTaxon","ResStage","ResCommon","Res_Thermy","Habitat","LabField","ObservationtimeSI","ObservationtimeSIUnits","ConStarvationTimeSI","ConStarvationTimeSIUnits","ConArenaSiz_VALUE","ConArenaSize_UNIT","ConDensity","ConDensityUnit","ConDensity_SI_VALUE","ConDensityConst","ConSizType","CON_ORIGINAL_value","CON_ORIGINAL_unit","Con_Siz_reference","ResSizType","RES_ORIGINAL_value","RES_ORIGINAL_unit","Res_Siz_reference","Citation","FigureTable"
"4126",79,"old","Resource Consumption Rate","",12.8165,"individual / (1 individual * 24 hour)",0.000148339,"Ischnura elegans elegans (Vander Linden 1820)","Daphnia magna Straus 1820","Ischnura elegans elegans (Vander Linden 1820) [instar 11]","Daphnia magna Straus 1820 [adult]","Sessile","sphere","active","sphere",2.28e-06,1.01e-07,"cubic meter",190205.3333,"individual per arena (1)",14.2654,7.5e-05,16,16,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","ectotherm","","","","","ectotherm","Freshwater","Laboratory",NA,"",NA,"",NA,"",NA,"","","","","","","","",NA,"","","Thompson D.J. 1978. Towards a realistic predator-prey model: the effect of temperature on the functional response and life history of larvae of the damselfly Ischnura elegans. Journal of Animal Ecology 47 757-767.","Figure 6"
"4127",79,"old","Resource Consumption Rate","",17.3979,"individual / (1 individual * 24 hour)",0.000201365,"Ischnura elegans elegans (Vander Linden 1820)","Daphnia magna Straus 1820","Ischnura elegans elegans (Vander Linden 1820) [instar 11]","Daphnia magna Straus 1820 [adult]","Sessile","sphere","active","sphere",2.28e-06,1.01e-07,"cubic meter",254393.3333,"individual per arena (1)",19.0795,7.5e-05,16,16,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","ectotherm","","","","","ectotherm","Freshwater","Laboratory",NA,"",NA,"",NA,"",NA,"","","","","","","","",NA,"","","Thompson D.J. 1978. Towards a realistic predator-prey model: the effect of temperature on the functional response and life history of larvae of the damselfly Ischnura elegans. Journal of Animal Ecology 47 757-767.","Figure 6"
"4128",79,"old","Resource Consumption Rate","",24.4165,"individual / (1 individual * 24 hour)",0.000282598,"Ischnura elegans elegans (Vander Linden 1820)","Daphnia magna Straus 1820","Ischnura elegans elegans (Vander Linden 1820) [instar 11]","Daphnia magna Straus 1820 [adult]","Sessile","sphere","active","sphere",2.28e-06,1.01e-07,"cubic meter",393377.3333,"individual per arena (1)",29.5033,7.5e-05,16,16,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","ectotherm","","","","","ectotherm","Freshwater","Laboratory",NA,"",NA,"",NA,"",NA,"","","","","","","","",NA,"","","Thompson D.J. 1978. Towards a realistic predator-prey model: the effect of temperature on the functional response and life history of larvae of the damselfly Ischnura elegans. Journal of Animal Ecology 47 757-767.","Figure 6"
"4129",79,"old","Resource Consumption Rate","",26.1995,"individual / (1 individual * 24 hour)",0.000303235,"Ischnura elegans elegans (Vander Linden 1820)","Daphnia magna Straus 1820","Ischnura elegans elegans (Vander Linden 1820) [instar 11]","Daphnia magna Straus 1820 [adult]","Sessile","sphere","active","sphere",2.28e-06,1.01e-07,"cubic meter",526305.3333,"individual per arena (1)",39.4729,7.5e-05,16,16,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","ectotherm","","","","","ectotherm","Freshwater","Laboratory",NA,"",NA,"",NA,"",NA,"","","","","","","","",NA,"","","Thompson D.J. 1978. Towards a realistic predator-prey model: the effect of temperature on the functional response and life history of larvae of the damselfly Ischnura elegans. Journal of Animal Ecology 47 757-767.","Figure 6"
"4130",79,"old","Resource Consumption Rate","",27.2094,"individual / (1 individual * 24 hour)",0.000314924,"Ischnura elegans elegans (Vander Linden 1820)","Daphnia magna Straus 1820","Ischnura elegans elegans (Vander Linden 1820) [instar 11]","Daphnia magna Straus 1820 [adult]","Sessile","sphere","active","sphere",2.28e-06,1.01e-07,"cubic meter",653286.6667,"individual per arena (1)",48.9965,7.5e-05,16,16,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","ectotherm","","","","","ectotherm","Freshwater","Laboratory",NA,"",NA,"",NA,"",NA,"","","","","","","","",NA,"","","Thompson D.J. 1978. Towards a realistic predator-prey model: the effect of temperature on the functional response and life history of larvae of the damselfly Ischnura elegans. Journal of Animal Ecology 47 757-767.","Figure 6"
"4131",79,"old","Resource Consumption Rate","",29.1085,"individual / (1 individual * 24 hour)",0.000336904,"Ischnura elegans elegans (Vander Linden 1820)","Daphnia magna Straus 1820","Ischnura elegans elegans (Vander Linden 1820) [instar 11]","Daphnia magna Straus 1820 [adult]","Sessile","sphere","active","sphere",2.28e-06,1.01e-07,"cubic meter",791278.6667,"individual per arena (1)",59.3459,7.5e-05,16,16,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","ectotherm","","","","","ectotherm","Freshwater","Laboratory",NA,"",NA,"",NA,"",NA,"","","","","","","","",NA,"","","Thompson D.J. 1978. Towards a realistic predator-prey model: the effect of temperature on the functional response and life history of larvae of the damselfly Ischnura elegans. Journal of Animal Ecology 47 757-767.","Figure 6"
"4132",79,"old","Resource Consumption Rate","",31.9354,"individual / (1 individual * 24 hour)",0.000369623,"Ischnura elegans elegans (Vander Linden 1820)","Daphnia magna Straus 1820","Ischnura elegans elegans (Vander Linden 1820) [instar 11]","Daphnia magna Straus 1820 [adult]","Sessile","sphere","active","sphere",2.28e-06,1.01e-07,"cubic meter",939256,"individual per arena (1)",70.4442,7.5e-05,16,16,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","ectotherm","","","","","ectotherm","Freshwater","Laboratory",NA,"",NA,"",NA,"",NA,"","","","","","","","",NA,"","","Thompson D.J. 1978. Towards a realistic predator-prey model: the effect of temperature on the functional response and life history of larvae of the damselfly Ischnura elegans. Journal of Animal Ecology 47 757-767.","Figure 6"
"4133",79,"old","Resource Consumption Rate","",37.1183,"individual / (1 individual * 24 hour)",0.00042961,"Ischnura elegans elegans (Vander Linden 1820)","Daphnia magna Straus 1820","Ischnura elegans elegans (Vander Linden 1820) [instar 11]","Daphnia magna Straus 1820 [adult]","Sessile","sphere","active","sphere",2.28e-06,1.01e-07,"cubic meter",1067422.667,"individual per arena (1)",80.0567,7.5e-05,16,16,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","ectotherm","","","","","ectotherm","Freshwater","Laboratory",NA,"",NA,"",NA,"",NA,"","","","","","","","",NA,"","","Thompson D.J. 1978. Towards a realistic predator-prey model: the effect of temperature on the functional response and life history of larvae of the damselfly Ischnura elegans. Journal of Animal Ecology 47 757-767.","Figure 6"
"4134",79,"old","Resource Consumption Rate","",30.1091,"individual / (1 individual * 24 hour)",0.000348485,"Ischnura elegans elegans (Vander Linden 1820)","Daphnia magna Straus 1820","Ischnura elegans elegans (Vander Linden 1820) [instar 11]","Daphnia magna Straus 1820 [adult]","Sessile","sphere","active","sphere",2.28e-06,1.01e-07,"cubic meter",1610153.333,"individual per arena (1)",120.7615,7.5e-05,16,16,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","ectotherm","","","","","ectotherm","Freshwater","Laboratory",NA,"",NA,"",NA,"",NA,"","","","","","","","",NA,"","","Thompson D.J. 1978. Towards a realistic predator-prey model: the effect of temperature on the functional response and life history of larvae of the damselfly Ischnura elegans. Journal of Animal Ecology 47 757-767.","Figure 6"
"4135",79,"old","Resource Consumption Rate","",9.3553,"individual / (1 individual * 24 hour)",0.000108279,"Ischnura elegans elegans (Vander Linden 1820)","Daphnia magna Straus 1820","Ischnura elegans elegans (Vander Linden 1820) [instar 11]","Daphnia magna Straus 1820 [adult]","Sessile","sphere","active","sphere",2.28e-06,1.01e-07,"cubic meter",115616,"individual per arena (1)",8.6712,7.5e-05,16,16,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","ectotherm","","","","","ectotherm","Freshwater","Laboratory",NA,"",NA,"",NA,"",NA,"","","","","","","","",NA,"","","Thompson D.J. 1978. Towards a realistic predator-prey model: the effect of temperature on the functional response and life history of larvae of the damselfly Ischnura elegans. Journal of Animal Ecology 47 757-767.","Figure 6"
