"ID","AIC_lm2","AIC_lm3","AIC_HollT2"
39835,-94.7167310713803,-85.3833977380469,-97.9200912108778
39836,-176.428102584977,-183.851427200844,-193.414497153937
39837,-164.961156544781,-160.367043019496,-169.460486701578
39838,-197.404303377442,-191.546383211589,-201.745247845251
39839,-186.766749996257,-186.139299947653,-180.772638454864
39840,-11.3263229797263,-9.46362270910055,-12.023553259256
39841,-25.3389843598582,-31.5049931350308,-33.2956407885065
39842,0.744299240394258,3.20999784576221,4.43198653354298
39843,-19.8176860886439,-18.7990650037294,-24.7498286768385
39844,-20.3421492223445,-21.6747697524949,-25.1202235653589
39845,-10.5422496350324,-7.87915940818195,-13.8735641357905
39846,-10.2306170308283,-7.28843106916854,-9.85514088605792
39847,-28.1721650859434,-30.9057364345697,-31.765336574736
39848,-8.4420376774363,-5.82929400989246,-9.91266588784805
39849,-12.7741171326032,-9.77648427562449,-10.7396473989443
39850,-22.305069133278,-26.4374842437549,-22.035777277219
39851,-88.2302347658365,Inf,-105.738033067794
39852,-94.9590355383502,Inf,-115.489864336679
39853,-82.428910482907,Inf,-99.5423128796717
39854,-85.9374028389117,Inf,-105.640586470105
39855,-94.4981961406102,Inf,-113.297711212411
39856,-76.1994040834609,Inf,-96.5108394040404
39857,-83.4592198337381,Inf,-103.444692227637
39858,-73.8834927579549,Inf,-93.7760951219788
39859,-103.762429219919,Inf,-121.721046409163
39860,-87.1341736389391,Inf,-105.439180198464
39861,-85.6994875102243,Inf,-102.513015109635
39862,-87.0516869122666,Inf,-107.223444912003
39863,-49.8779895451904,Inf,-64.240386162125
39864,-48.4465869580501,Inf,-68.0773111492329
39865,-61.2445127047958,Inf,-76.8864977281541
39866,-48.83124293426,Inf,-67.1220945612017
39867,-56.7488797801682,Inf,-76.9109193122448
39868,-72.2872539011432,-42.4208354598013,-80.084338775051
39869,-57.0371303902385,-32.2460312206338,-68.5769448092469
39870,-72.1179468696269,-42.1691291202759,-78.613924010539
39871,-52.8524330578981,-33.4146046689944,-64.1484220941689
39873,-82.7894866390939,-54.3679029769818,-90.5717023563566
39874,-73.4760077931611,-43.7150684906613,-82.3058757323661
39875,-57.6530828451878,-33.5269158215161,-69.5745342624586
39876,-55.9084383653766,-27.6467724159729,-64.254237858563
39877,-60.4822951794826,-33.7763694402564,-67.3607978720035
39878,-87.6455053571088,-57.6752669165005,-97.2175875535991
39879,-76.7863884691598,-48.7645145131312,-91.9356418107944
