"a","h"
5.1407346860664e-05,668.651177719823
7.88655405464605e-06,1098.41704907675
2.60466651813705e-05,2559.56893676724
3.90019994957512e-05,699.814817342067
2.76810570543052e-05,1027.47474644407
3.97244708970794e-05,179.228619473841
4.23977003446219e-05,246.961031908157
4.93232840828346e-05,2283.89817197199
3.83161123406072e-05,862.304001760519
5.9653406125806e-05,207.503455548817
4.27962880142606e-05,841.699240628075
7.20116224876209e-06,2027.09922729251
4.1427010480379e-05,1039.99543621843
2.70340965577061e-05,1047.33184335977
2.82411433889999e-05,1276.43473733711
5.92469517829644e-05,1842.1772472081
3.58865779964416e-05,1195.11171534202
3.85534739309382e-05,1213.75948830725
6.20759652915762e-05,1812.44017438541
1.85902804949598e-05,132.67745555719
3.12417075416772e-06,2176.28756709732
4.96986037233041e-05,1130.13386479313
2.50980913458376e-05,193.431220328425
5.7887357360709e-06,1344.52555879646
6.66973757089328e-05,2462.9765243091
4.45890859822137e-06,251.280160062464
3.19577518418594e-06,2704.81026168451
9.34106022905186e-06,2471.26837824586
6.76125033482504e-05,588.047979090994
1.88990139897731e-05,870.195835164198
9.74819185720361e-06,2413.75914882495
9.6591060581468e-06,319.662047554997
3.39294775730025e-05,1615.62633223259
4.24525515415887e-05,1240.513680228
5.42005019083573e-05,719.806990766567
5.1152321377564e-05,2379.83422537145
4.58160066783344e-05,1885.71830305456
3.07011663789097e-05,482.483488438324
4.97532685113202e-05,1515.37362798916
3.75809633675893e-06,892.549374167246
5.76618049790128e-06,98.5545750824333
4.45317004789186e-05,1382.33485837866
3.73133011076124e-05,243.642160643545
2.62897697639151e-05,545.457919515404
6.9792796371805e-06,591.005458595776
2.82996158561257e-05,1812.41295053796
6.10563802567169e-05,151.689372554113
1.75486328613313e-05,314.878081005477
2.37122959285711e-05,644.60159036364
2.3519261012201e-05,173.688391178786
5.57656466515374e-05,1136.32499210173
1.90670799503939e-05,1175.06878694259
5.24505251404834e-05,2351.28813510447
1.53733912771067e-05,88.9879862397313
2.95251881685946e-05,500.062442791563
1.22229125700993e-05,1333.44341524435
3.74114749266158e-05,2562.62297492199
5.91436914433774e-05,1654.05986952293
6.03174226087974e-05,1525.18269570269
4.61893195862097e-05,2828.63673170361
2.46370947789873e-05,2528.70684625229
2.0184621933873e-05,2017.04943475013
5.21031834609162e-05,2551.23678237085
6.17932580548085e-05,2331.78857716648
2.58090085101924e-05,524.202990607667
1.15201047582943e-05,1974.59337707526
1.98353735253224e-05,1706.31528425328
6.67535297606466e-05,2765.9215966489
3.57048292694951e-05,1376.3951986589
2.59244303401513e-05,858.10365964098
9.67426355940546e-06,2139.15192258345
1.28964775859106e-05,383.417885409686
2.15739244807097e-05,267.389506175356
6.4853984876025e-05,851.513278237936
2.98375742765204e-05,1335.8326548813
1.20790295427237e-05,1345.97224959157
6.28369606597954e-06,1451.67436778495
6.35902763514428e-05,1321.13622246642
6.18370638154128e-05,2154.17846423952
5.12064512131924e-05,2186.29658430691
4.49814378080203e-05,2572.43521067047
5.58189996716541e-05,2177.6126398868
2.85702176443753e-05,2506.64539409368
1.2335995268913e-05,1353.1431757227
8.72017801653617e-06,2122.02995826715
1.69700530087443e-05,498.243898415568
4.71271656429484e-05,2714.1354535702
6.99617193826334e-05,2343.11969505729
1.55924564836628e-05,1305.63116673221
4.57180142566741e-05,2770.35030029109
2.22520839653844e-05,211.055447030088
6.506905496608e-06,1554.8588811519
6.74665802863925e-05,1183.99212588253
4.10087050893246e-05,1807.37467778715
4.77264235519851e-05,718.739528365766
4.96574244369005e-05,2468.89494092661
3.89258572590526e-05,2562.40658618045
1.34625845917971e-05,1156.60237700426
1.86728067688923e-06,2348.22049764499
2.59362958518311e-05,883.69026265273
6.39450647249613e-05,86.4625655987833
1.34342687310025e-05,1208.59783221813
5.90692322090075e-05,822.587044366554
6.91867810852504e-05,262.306104534311
5.85701837785025e-05,1627.97993107711
6.48142429089036e-05,1995.58549457091
6.43015037947122e-05,806.539565260599
3.78594930130988e-07,1068.71605731619
4.43381099760497e-05,2034.12529519185
5.16693903248801e-05,215.348119768056
2.00949044763576e-06,2824.92484943229
4.11992758945227e-05,1284.73621559135
3.36869131829955e-05,330.629450460361
6.01876207297454e-05,1452.68890407744
2.52993836775636e-05,701.353375837293
2.92389515520246e-05,938.546688533284
6.46497852568247e-05,260.314128509471
3.27771560771281e-05,734.82933759901
5.93528579738801e-05,1503.16245057974
2.56161924068159e-05,1454.36759332589
5.60455784044799e-05,683.712104177809
6.84537330532561e-05,1804.57716943557
1.00608013979439e-05,2305.55695825513
4.67688621245523e-05,2548.59087279334
5.55910526393414e-05,1601.96394376687
5.07151357422802e-05,1618.11305834861
1.5691819359638e-05,75.2315881634827
2.8563003263742e-05,360.232023927793
1.78013831398515e-05,1777.86524653955
4.39826906133753e-05,1107.68923316266
3.15900157758957e-05,1417.37149709844
5.21644718638665e-05,405.01066830819
7.10533490690868e-07,2501.59399956794
2.02789938036504e-05,2289.69952604544
4.40028769282694e-05,401.259404108135
2.3030442350344e-05,2045.08406802466
8.93151282643899e-07,340.718312112924
3.17824477485234e-05,1395.7555516803
3.60546388311835e-05,2810.60966777364
4.7344241943215e-06,58.1137369793489
1.25894702716093e-05,996.447398740251
4.70464971736078e-05,1004.8700433725
4.14851617965032e-05,1798.04501013888
5.26602598436396e-05,874.024766032257
1.86038271643049e-05,1679.334078387
3.15315113454871e-06,1743.76663640043
1.82664554007123e-05,1155.87686645075
6.09118398272172e-05,2392.9871353722
2.47997899939399e-06,1457.57090769324
7.85435300622974e-06,381.59274859871
9.58005878674868e-06,1132.83932080859
4.92137966166744e-05,423.445001394592
2.47331244298106e-05,2371.00984867025
5.97925253507474e-05,474.897545744547
3.84803869139242e-05,1388.85360765573
5.82517305236617e-05,30.0204213367793
1.221814786982e-05,1304.57342893679
5.884960206204e-05,2531.82329270297
2.53097629618943e-05,32.9668220174724
1.26711223873054e-06,381.604487596119
1.07651331465889e-05,280.484327565564
3.03616846142211e-05,315.717199815892
6.99883063040832e-05,2642.36109677861
6.65584016083956e-05,468.753333247767
6.38246643280392e-05,1357.17271891678
6.33380461047585e-05,567.755147195436
4.47318917914582e-05,146.774083318335
5.33917461476808e-05,2073.42935136726
5.17606191167564e-05,2615.2972018795
2.47466348425413e-05,1890.49021114654
2.68810896455564e-05,52.6624720202989
1.59014089710389e-05,1802.03568014945
3.58658499871599e-05,1177.27622255155
3.62878071587796e-05,2794.25012593499
5.35438766324949e-05,1165.66061113779
5.99746536865686e-05,465.369324660901
2.92407469971988e-05,2253.50476466447
3.3115153997838e-05,2782.63034493561
4.97080019568675e-06,757.958699801098
3.95724659146748e-05,1986.32560206209
5.96759237361071e-05,1773.44650460723
6.11641082568015e-05,1117.70842859773
5.0521551687571e-05,2039.1567922
5.8722860332658e-05,525.237899290902
2.84343471655317e-05,121.048721040186
1.74087623686502e-05,254.778587179321
2.2505816306788e-05,142.509495176939
8.59430473183142e-06,2193.32582887526
3.50823112160009e-05,1042.752780927
2.4911972692905e-05,1629.52876808571
1.80484782027521e-05,1962.25060268221
6.33669277058628e-05,1822.36835357127
3.84738189653812e-05,1099.56106568046
5.00700918183108e-05,18.4742556399651
4.2369343313552e-05,1438.98088793863
5.75635595609501e-05,2222.16020899385
2.48621146569641e-05,1723.29287583748
8.34369014909933e-06,983.009279918101
2.35992546775485e-05,1955.56385390677
2.28505061276271e-05,1717.0929597225
8.76746152269188e-06,388.100320756271
1.62960573701367e-05,1061.9896436806
3.31656948530793e-05,614.437121068163
4.88701024733142e-05,714.689767529819
3.6354632588296e-05,738.909886155685
5.76530855979072e-07,1475.08052525148
5.95798301587184e-05,791.280640603547
6.65124102807934e-05,1618.55312762533
2.58771592732302e-05,2204.69876217071
5.61290302260329e-05,365.98384773416
4.43943172618111e-05,1595.6046515845
2.26780561693402e-05,799.50114667408
2.81131846388548e-05,189.276463375854
3.53438268616162e-05,1302.98295850292
1.87661394891674e-05,1775.13580245572
3.89839818520441e-05,1321.82775933198
9.27105327754305e-06,2522.94716877439
1.5532833207763e-05,1284.13478507817
3.23060364056183e-05,2562.19866545684
6.22446004532911e-05,1849.37606732238
4.25283498056978e-05,2028.33714192816
3.58962752940191e-05,1257.56354617922
6.42683061219987e-05,1640.92043927841
3.31429466925014e-05,1381.82197145346
9.58460978358868e-06,2145.64507852162
5.54742560943849e-05,425.254976136439
1.36440949653774e-05,2314.60026410324
3.9844929980417e-05,597.072276729442
6.0981190992723e-05,1090.4817584692
4.86159971344401e-06,1456.76077939127
4.05165644008918e-05,743.697463069556
5.16132339061203e-05,2477.86988164328
4.22440771026767e-05,1451.36443301535
9.84897729515377e-06,1413.17540559183
5.56360356053633e-05,2633.13683237599
6.11210939057716e-05,1476.45188256659
5.6728424721784e-06,1494.00705407637
5.61116704741835e-05,435.561125800839
5.38141916816938e-05,401.916732837886
2.44197599156792e-05,1821.05481986755
4.33863374941712e-05,1271.02435464032
2.28555748219059e-05,2574.4377720498
6.13905088571752e-05,414.502781763372
1.34764100175344e-05,208.504245757603
6.94011040213283e-05,177.109023445093
2.07735151199929e-05,614.332470313838
4.03639291149583e-05,2341.59317642317
4.93774744821908e-05,898.117655179277
5.68238442461046e-05,953.094642389654
4.06029876650269e-05,2535.99904237012
4.54462924312481e-05,2198.98728929999
5.36371506663545e-05,621.41325622051
3.25582321750538e-05,2185.9613730019
1.56746750905935e-05,237.910989502718
6.29877213759217e-05,1256.78046373029
3.93404960469366e-06,1250.64047395179
4.96628546035846e-05,2539.73376238768
5.81933502407328e-05,24.7945052784803
6.84502998244932e-05,1030.16186305724
1.48615972509084e-05,474.162623404202
4.00761377899507e-05,2472.36069278494
6.4427414903179e-05,406.277323064625
1.48580962593332e-05,1931.5603491721
6.54488132911397e-05,2652.05493103996
2.62147371820395e-05,1518.68382866757
4.12142907690187e-05,385.951009622399
3.33733842489542e-05,2376.68378730055
